Warming (2deg-years),Utility loss (%CBGE),Mitigation cost (%CBGE),Damage cost (%CBGE),Abat(2030)/.5degC (%),Abat(2050)/.5degC (%),95th damage cost (%BGE),95th max temp (degC)
317.80,1.83,0.07,1.75,9.34,6.47,2.56,6.22
291.36,1.78,0.11,1.67,9.22,6.90,2.48,5.85
291.88,1.78,0.11,1.67,8.70,6.75,2.46,5.81
293.41,1.78,0.11,1.67,9.05,6.93,2.45,5.78
294.50,1.78,0.10,1.68,9.26,6.98,2.49,5.92
295.29,1.79,0.10,1.68,8.40,6.51,2.47,5.79
296.27,1.79,0.10,1.68,8.33,6.45,2.48,5.79
297.44,1.79,0.10,1.69,8.57,6.59,2.47,5.90
298.28,1.79,0.10,1.69,8.56,6.74,2.50,5.95
299.12,1.79,0.10,1.69,9.83,6.95,2.52,5.99
300.19,1.79,0.10,1.70,8.76,6.65,2.50,5.95
301.30,1.79,0.09,1.70,9.02,6.65,2.50,5.88
302.47,1.80,0.09,1.71,8.17,6.40,2.54,6.01
303.30,1.80,0.09,1.71,8.68,6.59,2.53,6.14
303.70,1.80,0.09,1.70,9.32,6.64,2.45,5.84
305.29,1.79,0.09,1.70,11.68,7.62,2.47,5.89
306.37,1.79,0.09,1.70,11.55,7.50,2.43,5.80
281.35,1.76,0.13,1.62,10.96,7.90,2.39,5.66
282.17,1.76,0.13,1.63,9.78,7.45,2.40,5.66
283.09,1.76,0.12,1.63,9.66,7.41,2.40,5.65
284.48,1.76,0.12,1.64,9.89,7.51,2.40,5.63
285.18,1.77,0.12,1.64,9.38,7.07,2.43,5.71
286.35,1.77,0.12,1.65,8.74,6.89,2.41,5.68
287.47,1.77,0.12,1.65,9.31,7.01,2.45,5.75
288.43,1.78,0.11,1.66,9.55,7.01,2.48,5.83
289.46,1.78,0.11,1.66,9.53,7.17,2.44,5.83
290.38,1.77,0.11,1.65,10.38,7.51,2.42,5.71
290.87,1.78,0.11,1.66,10.30,7.34,2.46,5.80
292.45,1.77,0.11,1.65,11.29,8.16,2.39,5.74
293.32,1.77,0.11,1.65,12.16,8.32,2.35,5.68
293.55,1.76,0.12,1.64,14.06,9.22,2.32,5.68
271.08,1.74,0.15,1.59,10.70,7.92,2.36,5.57
272.43,1.74,0.15,1.59,11.73,8.40,2.36,5.56
273.42,1.75,0.14,1.60,9.27,7.38,2.38,5.62
274.49,1.75,0.14,1.61,10.18,7.50,2.42,5.71
275.13,1.75,0.14,1.61,11.37,8.10,2.39,5.63
275.95,1.75,0.14,1.61,11.04,8.05,2.40,5.66
276.89,1.75,0.14,1.61,10.59,7.82,2.38,5.60
278.20,1.75,0.13,1.61,10.88,7.73,2.39,5.65
279.00,1.76,0.13,1.62,9.58,7.27,2.41,5.66
280.38,1.75,0.13,1.62,11.35,8.17,2.36,5.60
280.72,1.75,0.13,1.62,11.37,8.20,2.36,5.57
282.35,1.75,0.13,1.61,12.43,8.95,2.29,5.54
282.95,1.75,0.13,1.61,14.19,9.12,2.28,5.50
284.17,1.74,0.13,1.61,14.17,9.50,2.29,5.56
261.22,1.73,0.17,1.55,12.64,8.79,2.32,5.50
262.40,1.73,0.17,1.55,12.31,8.84,2.28,5.39
263.17,1.73,0.17,1.56,12.74,8.87,2.34,5.55
264.14,1.73,0.16,1.56,12.21,9.08,2.31,5.49
265.41,1.74,0.16,1.57,10.01,7.97,2.31,5.44
266.28,1.74,0.16,1.57,12.04,8.42,2.36,5.59
267.39,1.74,0.16,1.57,12.12,8.37,2.32,5.49
268.48,1.74,0.15,1.58,12.16,8.41,2.35,5.56
269.03,1.74,0.15,1.58,10.10,8.05,2.36,5.56
270.41,1.74,0.15,1.58,12.68,8.89,2.33,5.53
270.99,1.73,0.15,1.58,13.61,8.98,2.31,5.49
271.66,1.73,0.15,1.58,14.65,9.46,2.31,5.51
272.71,1.73,0.15,1.57,14.62,9.70,2.26,5.51
273.69,1.73,0.15,1.57,14.67,9.79,2.21,5.40
253.43,1.72,0.19,1.52,12.12,9.25,2.23,5.28
254.36,1.72,0.19,1.53,11.53,9.14,2.30,5.48
255.45,1.72,0.18,1.53,12.06,9.18,2.24,5.32
256.45,1.72,0.18,1.54,12.89,9.01,2.28,5.42
257.38,1.73,0.18,1.54,12.89,9.07,2.31,5.49
258.47,1.72,0.18,1.54,12.50,9.02,2.28,5.41
259.41,1.72,0.17,1.54,13.35,9.60,2.27,5.39
260.07,1.72,0.17,1.55,12.70,9.13,2.27,5.39
260.93,1.72,0.17,1.55,13.31,9.51,2.28,5.43
262.11,1.72,0.17,1.54,13.16,9.74,2.20,5.30
263.49,1.72,0.17,1.54,15.03,10.45,2.19,5.36
263.64,1.71,0.17,1.54,15.55,10.85,2.21,5.38
265.58,1.71,0.17,1.54,18.09,11.19,2.15,5.24
245.49,1.71,0.21,1.50,14.37,10.14,2.23,5.32
246.36,1.71,0.21,1.50,13.15,9.83,2.19,5.31
247.48,1.71,0.20,1.51,13.70,9.17,2.21,5.29
248.33,1.71,0.20,1.51,12.35,9.47,2.21,5.33
249.37,1.72,0.20,1.51,13.08,9.82,2.26,5.37
250.20,1.72,0.20,1.52,12.33,9.38,2.23,5.30
251.16,1.72,0.19,1.52,14.33,10.10,2.25,5.37
252.34,1.72,0.19,1.52,13.04,9.25,2.26,5.37
253.06,1.71,0.19,1.52,14.28,10.39,2.21,5.30
254.01,1.71,0.19,1.51,14.99,10.63,2.15,5.24
255.30,1.70,0.19,1.51,17.24,11.02,2.12,5.19
255.54,1.70,0.19,1.51,17.51,11.47,2.12,5.21
256.64,1.70,0.19,1.51,17.95,11.69,2.10,5.19
238.47,1.70,0.23,1.47,16.65,10.95,2.15,5.19
239.40,1.70,0.22,1.47,15.33,10.43,2.12,5.13
240.48,1.70,0.22,1.48,14.98,10.44,2.19,5.23
241.47,1.71,0.22,1.48,14.31,9.92,2.15,5.19
242.19,1.71,0.22,1.48,13.11,9.82,2.13,5.07
243.48,1.70,0.21,1.49,14.27,10.46,2.17,5.20
244.45,1.71,0.21,1.49,14.00,10.31,2.19,5.24
244.81,1.70,0.21,1.49,14.56,10.24,2.16,5.22
245.52,1.70,0.21,1.48,16.37,10.86,2.11,5.07
246.75,1.70,0.21,1.48,17.92,11.76,2.10,5.13
247.90,1.69,0.21,1.48,18.28,12.08,2.06,5.08
248.66,1.69,0.21,1.48,18.51,12.37,2.05,5.07
230.39,1.70,0.25,1.44,14.49,10.72,2.07,4.98
231.36,1.70,0.25,1.44,14.82,10.68,2.08,5.00
232.41,1.69,0.24,1.45,16.33,10.96,2.07,5.00
233.35,1.69,0.24,1.45,16.42,11.17,2.08,5.09
234.36,1.70,0.24,1.45,15.32,11.08,2.13,5.13
235.38,1.70,0.24,1.46,14.05,10.18,2.12,5.13
236.18,1.70,0.23,1.47,13.25,10.08,2.11,5.05
237.26,1.70,0.23,1.46,14.46,10.57,2.09,5.02
238.25,1.69,0.23,1.46,17.45,11.30,2.07,5.08
238.58,1.69,0.23,1.46,18.33,11.52,2.06,5.04
240.45,1.69,0.23,1.45,19.82,12.51,2.02,5.01
240.54,1.69,0.23,1.45,20.43,12.79,2.02,5.00
241.54,1.69,0.23,1.45,20.95,12.77,2.00,4.95
224.24,1.70,0.27,1.42,15.79,10.94,2.08,5.02
225.48,1.69,0.27,1.42,16.79,12.15,2.03,4.95
226.45,1.69,0.26,1.43,16.23,12.01,2.07,4.99
227.17,1.69,0.26,1.43,14.91,11.09,2.05,4.96
228.48,1.69,0.26,1.43,15.87,11.10,2.06,4.98
229.24,1.69,0.25,1.44,15.41,11.29,2.05,5.00
230.08,1.70,0.25,1.44,15.90,11.24,2.09,5.03
231.28,1.69,0.25,1.43,19.61,13.04,2.03,4.98
231.86,1.69,0.25,1.43,19.05,11.97,1.98,4.88
232.83,1.68,0.25,1.43,19.73,12.81,1.99,4.93
233.52,1.68,0.25,1.43,19.93,13.52,1.98,4.92
218.38,1.69,0.29,1.40,16.44,12.11,2.03,4.97
219.48,1.69,0.28,1.40,18.15,12.68,2.01,4.93
220.07,1.69,0.28,1.41,17.19,11.84,2.06,4.98
221.46,1.70,0.28,1.41,15.94,11.87,2.04,4.97
222.33,1.69,0.27,1.41,17.21,11.53,2.04,4.94
223.36,1.69,0.27,1.41,17.03,12.50,2.06,5.01
224.28,1.69,0.27,1.41,19.78,12.39,2.03,4.98
224.65,1.68,0.27,1.41,20.31,13.13,2.00,4.93
225.88,1.68,0.27,1.41,20.92,13.84,1.98,4.92
227.17,1.68,0.27,1.40,21.80,14.12,1.95,4.84
227.99,1.68,0.27,1.40,22.14,14.07,1.93,4.83
