Warming (2deg-years),Utility loss (%CBGE),Mitigation cost (%CBGE),Damage cost (%CBGE),Abat(2030)/.5degC (%),Abat(2050)/.5degC (%),95th damage cost (%BGE),95th max temp (degC)
125.49,1.84,0.77,1.06,37.39,28.06,1.47,3.96
125.56,1.83,0.77,1.06,38.16,28.18,1.46,3.94
126.75,1.83,0.77,1.06,42.42,28.82,1.42,3.88
127.95,1.83,0.77,1.05,44.28,29.49,1.41,3.86
121.49,1.85,0.80,1.05,36.93,28.78,1.45,3.91
122.42,1.85,0.79,1.05,37.34,28.53,1.45,3.92
123.35,1.84,0.79,1.05,41.27,28.47,1.44,3.91
123.57,1.84,0.79,1.05,41.77,29.10,1.42,3.89
124.52,1.84,0.79,1.05,44.08,30.00,1.41,3.85
118.47,1.87,0.83,1.04,37.29,29.82,1.45,3.91
119.48,1.86,0.82,1.04,39.13,29.12,1.42,3.87
120.46,1.86,0.81,1.04,38.85,29.23,1.44,3.91
120.78,1.86,0.81,1.04,40.42,29.43,1.43,3.89
121.72,1.85,0.81,1.04,44.70,29.40,1.40,3.85
116.46,1.88,0.84,1.03,38.50,29.93,1.43,3.88
117.48,1.87,0.84,1.03,38.91,30.00,1.42,3.87
118.18,1.87,0.83,1.03,39.88,29.96,1.42,3.87
119.09,1.86,0.83,1.03,45.04,29.99,1.40,3.84
120.39,1.86,0.83,1.03,45.92,30.62,1.36,3.76
114.40,1.89,0.86,1.02,39.27,30.90,1.42,3.86
115.48,1.88,0.85,1.03,40.59,30.68,1.43,3.88
115.88,1.88,0.85,1.03,40.35,30.37,1.41,3.85
116.83,1.88,0.85,1.02,45.56,31.21,1.38,3.80
117.82,1.88,0.85,1.02,46.82,31.97,1.36,3.76
111.49,1.90,0.89,1.01,41.26,31.91,1.39,3.82
112.45,1.90,0.88,1.01,41.41,31.79,1.40,3.84
113.50,1.89,0.87,1.02,41.41,31.34,1.39,3.83
114.31,1.89,0.87,1.01,44.66,31.91,1.37,3.79
115.14,1.89,0.87,1.01,45.42,32.04,1.35,3.75
115.57,1.89,0.87,1.01,47.32,32.22,1.35,3.74
109.50,1.92,0.91,1.00,42.27,32.46,1.39,3.81
110.46,1.91,0.90,1.01,41.30,31.92,1.39,3.82
111.37,1.91,0.89,1.01,42.05,31.74,1.40,3.83
112.09,1.90,0.89,1.01,45.46,32.61,1.36,3.78
113.49,1.90,0.89,1.01,47.43,33.21,1.34,3.73
107.45,1.93,0.93,1.00,44.08,33.35,1.37,3.78
108.50,1.92,0.92,1.00,43.49,32.81,1.37,3.78
109.29,1.92,0.91,1.00,43.74,32.31,1.38,3.81
110.49,1.91,0.91,1.00,48.80,33.48,1.35,3.75
110.82,1.91,0.91,1.00,47.04,33.82,1.32,3.70
105.48,1.94,0.95,0.99,44.39,34.10,1.36,3.77
106.47,1.93,0.94,0.99,43.46,33.34,1.37,3.78
107.33,1.93,0.93,0.99,44.73,33.53,1.36,3.76
107.58,1.93,0.93,0.99,46.66,33.33,1.35,3.76
108.87,1.92,0.93,0.99,50.29,34.18,1.32,3.69
103.42,1.95,0.97,0.98,44.88,34.75,1.35,3.76
104.48,1.95,0.96,0.99,42.77,34.37,1.37,3.77
105.42,1.94,0.95,0.99,47.06,34.14,1.34,3.74
105.81,1.94,0.95,0.98,49.76,34.32,1.34,3.74
106.86,1.94,0.95,0.98,49.55,35.08,1.31,3.68
101.48,1.97,0.99,0.97,45.35,35.47,1.33,3.72
102.48,1.96,0.98,0.98,43.51,34.74,1.36,3.76
103.20,1.95,0.97,0.98,46.01,34.49,1.33,3.72
104.05,1.95,0.97,0.98,49.36,34.94,1.30,3.66
104.74,1.95,0.97,0.98,50.57,35.49,1.30,3.66
99.49,1.98,1.01,0.97,46.70,36.07,1.32,3.71
100.50,1.97,1.00,0.97,44.56,35.96,1.35,3.74
101.24,1.97,0.99,0.97,47.73,35.49,1.33,3.72
101.88,1.96,0.99,0.97,47.39,36.60,1.30,3.66
102.83,1.96,0.99,0.97,51.08,36.27,1.28,3.64
97.49,1.99,1.03,0.96,46.79,36.88,1.31,3.69
98.49,1.99,1.02,0.96,46.56,36.42,1.32,3.70
99.32,1.98,1.01,0.97,48.04,36.32,1.32,3.70
100.22,1.98,1.01,0.96,50.37,36.94,1.29,3.66
101.19,1.98,1.01,0.96,53.85,37.05,1.28,3.63
96.46,2.00,1.04,0.96,47.07,37.47,1.32,3.70
97.36,1.99,1.03,0.96,48.15,36.98,1.32,3.70
97.78,1.99,1.03,0.96,49.23,37.14,1.28,3.62
98.57,1.99,1.03,0.96,52.23,37.47,1.27,3.62
94.50,2.02,1.06,0.95,48.03,38.25,1.30,3.66
95.46,2.01,1.05,0.95,48.01,37.89,1.32,3.68
95.74,2.01,1.05,0.95,51.05,37.56,1.29,3.66
92.46,2.03,1.08,0.94,47.38,39.49,1.29,3.65
93.50,2.02,1.07,0.95,48.14,38.70,1.30,3.66
94.05,2.02,1.07,0.95,50.54,38.74,1.28,3.63
94.94,2.02,1.07,0.94,53.96,39.19,1.26,3.60
90.50,2.05,1.11,0.94,49.08,40.30,1.27,3.62
91.50,2.04,1.10,0.94,49.19,39.46,1.29,3.65
92.04,2.03,1.09,0.94,51.07,39.07,1.29,3.64
92.55,2.03,1.09,0.94,52.60,39.11,1.25,3.59
89.50,2.06,1.12,0.93,49.84,40.71,1.27,3.62
90.29,2.05,1.11,0.94,50.12,40.34,1.28,3.63
90.59,2.05,1.11,0.93,52.23,40.22,1.26,3.60
91.57,2.05,1.11,0.93,56.32,40.66,1.24,3.57
87.48,2.07,1.14,0.93,50.21,41.83,1.26,3.60
88.48,2.06,1.13,0.93,49.80,41.22,1.27,3.62
88.65,2.06,1.13,0.93,50.90,41.00,1.26,3.59
85.46,2.09,1.17,0.92,52.63,42.81,1.25,3.59
86.49,2.08,1.16,0.92,50.92,42.30,1.26,3.59
86.95,2.08,1.15,0.92,50.08,42.16,1.26,3.59
88.10,2.07,1.15,0.92,57.77,41.77,1.23,3.55
84.47,2.10,1.18,0.92,51.53,43.36,1.24,3.57
85.40,2.09,1.17,0.92,53.02,42.46,1.24,3.57
85.72,2.09,1.17,0.92,54.56,42.44,1.23,3.55
82.49,2.12,1.21,0.91,54.75,44.23,1.24,3.56
83.50,2.11,1.19,0.91,51.53,43.92,1.24,3.56
84.19,2.10,1.19,0.91,55.61,42.77,1.22,3.53
84.88,2.10,1.19,0.91,58.28,43.34,1.21,3.52
81.49,2.13,1.22,0.90,53.15,44.80,1.22,3.53
82.38,2.12,1.21,0.91,53.76,44.33,1.23,3.54
82.75,2.12,1.21,0.90,57.79,43.70,1.22,3.53
79.50,2.15,1.25,0.90,54.95,45.99,1.21,3.52
80.49,2.14,1.24,0.90,54.26,45.42,1.22,3.53
81.00,2.13,1.23,0.90,54.86,45.16,1.21,3.52
81.72,2.13,1.23,0.90,61.04,44.97,1.21,3.52
78.48,2.16,1.26,0.89,53.91,46.73,1.21,3.51
79.44,2.15,1.25,0.90,54.57,45.65,1.20,3.51
79.60,2.15,1.25,0.89,57.27,45.45,1.20,3.50
77.49,2.17,1.28,0.89,57.44,47.00,1.21,3.51
78.08,2.16,1.27,0.89,56.94,46.60,1.21,3.51
78.62,2.16,1.27,0.89,61.25,46.37,1.20,3.49
75.47,2.19,1.31,0.88,57.82,47.80,1.19,3.48
76.49,2.18,1.29,0.89,55.32,47.90,1.20,3.50
76.67,2.18,1.29,0.89,57.19,47.40,1.20,3.50
74.49,2.20,1.32,0.88,58.30,48.15,1.19,3.48
75.39,2.19,1.31,0.88,58.04,47.92,1.19,3.48
75.52,2.19,1.31,0.88,60.60,47.69,1.19,3.48
73.50,2.22,1.34,0.88,57.26,49.45,1.19,3.48
74.04,2.21,1.33,0.88,58.50,48.69,1.19,3.48
74.54,2.21,1.33,0.87,64.97,47.73,1.19,3.48
72.49,2.23,1.35,0.87,59.08,49.91,1.19,3.48
72.95,2.22,1.35,0.87,61.86,49.30,1.19,3.47
70.49,2.25,1.39,0.86,60.31,50.97,1.19,3.45
71.50,2.24,1.37,0.87,60.66,50.29,1.19,3.46
71.60,2.24,1.37,0.87,60.85,49.72,1.19,3.46
69.48,2.27,1.40,0.86,61.73,51.67,1.19,3.44
70.45,2.26,1.39,0.86,63.42,50.61,1.19,3.45
70.65,2.26,1.39,0.86,66.28,50.77,1.19,3.46
68.49,2.28,1.42,0.86,60.43,52.62,1.19,3.44
69.27,2.27,1.41,0.86,62.59,51.57,1.19,3.44
69.53,2.27,1.41,0.86,67.63,51.15,1.19,3.45
67.50,2.29,1.44,0.85,63.60,52.95,1.19,3.43
67.99,2.29,1.43,0.85,62.59,52.75,1.19,3.44
66.47,2.31,1.46,0.85,61.93,53.82,1.19,3.43
66.99,2.30,1.45,0.85,63.37,53.31,1.19,3.43
65.50,2.32,1.48,0.85,64.86,54.46,1.19,3.43
65.89,2.32,1.47,0.85,64.05,54.23,1.19,3.43
64.50,2.34,1.50,0.84,64.73,55.32,1.19,3.43
64.91,2.33,1.49,0.84,66.83,54.66,1.19,3.43
63.45,2.36,1.52,0.84,65.73,56.14,1.19,3.43
63.98,2.35,1.51,0.84,67.41,55.47,1.19,3.43
62.49,2.38,1.54,0.83,65.90,57.01,1.19,3.43
63.11,2.37,1.53,0.83,69.69,55.89,1.19,3.43
61.45,2.39,1.56,0.83,67.86,57.73,1.19,3.43
62.00,2.38,1.55,0.83,63.80,56.17,1.19,3.43
60.49,2.41,1.58,0.83,64.76,56.93,1.19,3.43
61.31,2.40,1.57,0.83,70.20,56.64,1.19,3.43
60.33,2.42,1.59,0.82,68.78,58.73,1.19,3.43
60.59,2.42,1.59,0.82,72.93,58.23,1.19,3.43
59.49,2.44,1.61,0.82,71.74,59.18,1.19,3.43
60.06,2.43,1.61,0.82,74.23,58.67,1.19,3.43
58.49,2.46,1.64,0.82,68.92,57.43,1.19,3.43
59.16,2.45,1.63,0.82,72.87,59.06,1.19,3.43
57.49,2.48,1.66,0.81,71.15,58.72,1.19,3.43
58.07,2.47,1.65,0.81,71.45,58.67,1.19,3.43
57.39,2.48,1.67,0.81,73.17,59.49,1.19,3.43
57.59,2.48,1.67,0.81,72.91,61.40,1.19,3.43
56.47,2.51,1.70,0.81,72.73,60.57,1.19,3.43
57.04,2.50,1.69,0.81,73.44,61.24,1.19,3.43
56.18,2.52,1.71,0.81,74.34,60.85,1.19,3.43
56.53,2.52,1.71,0.80,74.42,62.49,1.19,3.43
55.50,2.54,1.74,0.80,74.58,62.11,1.19,3.43
56.40,2.53,1.73,0.80,76.11,63.66,1.19,3.43
55.40,2.55,1.75,0.80,76.11,62.84,1.19,3.43
55.82,2.55,1.75,0.80,76.74,64.46,1.19,3.43
54.95,2.57,1.77,0.80,74.72,64.53,1.19,3.43
54.80,2.59,1.79,0.79,76.06,65.16,1.19,3.43
54.69,2.61,1.81,0.79,76.65,66.15,1.19,3.43
54.70,2.63,1.84,0.79,77.52,68.20,1.19,3.43
54.63,2.64,1.86,0.79,77.34,69.52,1.19,3.43
54.62,2.66,1.88,0.78,77.77,70.89,1.19,3.43
54.62,2.68,1.89,0.78,77.78,71.96,1.19,3.43
